prodName,collection,category,details,img1,linkMacy,linkKohls,linkSears,linkKays
4C DOUBLE CLOVER BRACELET,CLASSIQUE,BRACELET,"A stunning statement, this bracelet by Marie Claire is in the brand's signature four ""C"" clover motif. Crafted in rhodium plated silver and Swarovski crystals, this 7.5 inch bracelet is perfect alone or layered with other styles.",SRB000263SCY75,,,,
4C CLOVER PUDDLE ,CLASSIQUE,EARRINGS,"Modern Deco, these chic clover drop earrings by Marie Claire will dress up any outfit. Made in rhodium plated silver, the pair sparkles in Swarovski Cubic Zirconia.",SRE000234SCZK,,,,
4C CLOVER PUDDLE ,CLASSIQUE,NECKLACE,"A fresh take on Deco style, this dazzling four ""C"" clover pendant by Marie Claire dangles on 17-inch chain necklace, crafted in rhodium plated silver and accented in brilliant Swarovski Cubic Zirconia.",SRF000234SCZ17,,,,
4C CLOVER STATION NECK,CLASSIQUE,NECKLACE,"Fresh, feminine and full of style this double-row four ""C"" clover station necklace in 18-inch length will be a wardrobe favorite. Crafted in two-tone rose and rhodium plated silver, the piece glistens in Swarovski crystal, by Marie Claire.",SRF000263PCY18,,,,
4C CLOVER STATION NECK,CLASSIQUE,NECKLACE,"Feminine, fashionable and fun this double-row clover station necklace in 18-inch length will be a go-to piece in your collection. Crafted in rhodium plated silver, this Marie Claire four ""C"" clover design shines in Swarovski crystal.",SRF000263SCY18,,,,
4C CLOVER STATEMENT NECKLACE,CLASSIQUE,NECKLACE,"Add some wow to your wardrobe, with this statement necklace in signature Marie Claire four ""C"" clover motif. Crafted in rhodium and rose plated silver, this necklace comes in a perfect 18.5 inch length.",SRF000267SCY185,,,,
4C CLOVERS BY THE YARD,CLASSIQUE,NECKLACE,"Stunning alone or layered, this 18-inch clovers-by-the-yard necklace is crafted in rhodium and rose plated silver. A fashion favorite by Marie Claire.",SRF000517R18,,,,
4C CLOVERS BY THE YARD,CLASSIQUE,NECKLACE,"Wear it long, doubled up or layered this clovers-by-the-yard necklace will be your go-to piece in a versatile 36-inch length in rhodium and rose plated silver, by Marie Claire.",SRF000517R36,,,,
4C CLOVERS BY THE YARD,CLASSIQUE,NECKLACE,"By itself or mixed with favorite designs, Marie Claire's stunning clovers-by-the-yard necklace in 18-inch length is crafted in rhodium plated silver. A contemporary classic piece in any wardrobe.",SRF000517S18,,,,
4C CLOVERS BY THE YARD,CLASSIQUE,NECKLACE,"Create your own signature look with this iconic Marie Claire four ""C"" clover necklace in versatile 36-inch length. Crafted in rhodium plated sterling silver, the design can be worn long, doubled or layered with other styles.",SRF000517S36,,,,
4C CLOVERS BY THE YARD,CLASSIQUE,NECKLACE,"Make a fashion statement wearing this clover station necklace on 18-inch chain —on its own or layered with other styles. Signature Marie Claire, the design is crafted in rhodium and yellow plated sterling silver.",SRF000517Y18,,,,
4C CLOVERS BY THE YARD,CLASSIQUE,NECKLACE,"A jewelry wardrobe must-have, you'll love playing with the possibilities this 36-inch clovers-by-the-yard necklace presents—worn long, doubled up and layered.  Signature Marie Claire, the design is crafted in rhodium and yellow plated sterling silver. ",SRF000517Y36,,,,
4C CLOVERS BY THE YARD,CLASSIQUE,NECKLACE,"Shine on in this iconic Marie Claire double four ""C"" clover design. Fashioned in rhodium plated silver with Swarovski crystal accents, this 18-inch necklace works alone or grouped with other favorites.",SRF000529SCY18,,,,
4C CLOVERS BY THE YARD,CLASSIQUE,NECKLACE,"A versatile, fashionable jewelry must have you'll love creating new looks with this double necklace adorned with the Marie Claire four ""C"" clover design, in 36-inch length. This stunner is crafted in rhodium plated silver with Swarovski crystal accents.",SRF000529SCY36,,,,
4C CLOVER B&W BOLD  CUFF,CLASSIQUE,BANGLE,"Fashion on the cuff, this bold, open clover design by Marie Claire makes a statement alone or stacked with other bracelets. Sparkling in black and white Swarovski crystal, the cuff is fashioned in rhodium plated silver.",SRG000701WCY,,,,
4C CLOVER BYPASS BANGLE,CLASSIQUE,BANGLE,"Delightfully different, this delicate two-tone bypass clover bangle by Marie Claire is made in silver with brilliant Swarovski Cubic Zirconia in 7-inch size.",SS-BG9733GPCZ07
4C CLOVER BLUE  STATEMENT BANGLE,CLASSIQUE,BANGLE,"When making a style statement is paramount, Marie Claire delivers in its signature open work clover bangle. This wide 7.5 inch bracelet is fashioned in rhodium plated silver, gleaming in Swarovski aqua Cubic Zirconia.",SS-BG9735RPCZ75
4C CLOVER 2 TONE CRYSTAL BANGLE,CLASSIQUE,BANGLE,"Clever, subtle clover style bangle by Marie Claire is crafted in open work, two-tone silver with Swarovski crystal accents. Available in size 7, this fresh bracelet design looks great ala carte or stacked.",SS-BG97562CCY07
4C CLOVER CUT OUT BANGLE,CLASSIQUE,BANGLE,"Classically chic, this brilliant bangle with cut out clover design works alone or in tandem with favorite styles. Crafted in rhodium plated silver in 7.5 inch size, this sparkling stunner by Marie Claire is encrusted in Swarovski crystals.",SSBG9760RPCY725
4C CLOVER CHARM EARRING,CLASSIQUE,EARRINGS,"The perfect hoops for everyday wear, these adorable open clover charm earrings by Marie Claire are crafted in yellow plated silver on wire back. You'll wear them with everything!",SS-E14-9719GP
4C CLOVER CHARM EARRING,CLASSIQUE,EARRINGS,"Daily delights, you may never take off these fun open clover charm hoops. Fashioned in rhodium plated silver by Marie Claire the wire back earrings effortlessly accent casual, business or evening wear.",SS-E14-9719RP
4C CLOVER CRYSTAL ACCENT CHARM EARRING,CLASSIQUE,EARRINGS,"An open, crisscross clover charm dangles from these classically chic hoops by Marie Claire. Your go-to piece, these earrings sparkle in brilliant Swarovski Cubic Zirconia in rhodium plated silver.",SS-E14-9738RPCZ
4C CLOVER CRYSTAL ACCENT CHARM EARRING,CLASSIQUE,EARRINGS,"Add sparkle and shine around your face in these open four ""C"" clover charm hoops by Marie Claire. Enrobed in brilliant Swarovski Cubic Zirconia, the earrings are crafted in rhodium plated silver.",SS-E14-9739RPCZ
4C CLOVER DOUBLE DROP EARRING,CLASSIQUE,EARRINGS,"Color, texture and sparkle abound in this two-tier, two-tone silver teardrop clover earring on wire back, accented with Swarovski Cubic Zirconia—accented with the signature Marie Claire four ""C"" clover.",SS-E35-9737GPCZ
4C CLOVER B&W DANGLING EARRING,CLASSIQUE,EARRINGS,"Double the drama flaunting these two-tier, two-tone open clover pendant earrings by Marie Claire. Fashioned in rhodium and rose plated silver, the drops shine in Swarovski black Cubic Zirconia.",SS-E359740RPCZK
4C CLOVER LT ROSE DOUBLE DROP EARRING,CLASSIQUE,EARRINGS,"Double the drama wearing these spectacular, graduated, open clover pendant earrings by Marie Claire. The drops shine in Swarovski crystal in rhodium and rose plated silver.",SS-E35-9757RPCY
4C CLOVER LINK BRACELELT,CLASSIQUE,BRACELET,"Iconic Marie Claire, this stunning two-tone silver clover link bracelet in 7.5 inch length makes a style statement alone or worn in tandem with other favorite designs.",SS-FE9736GPCZ75
4C CLOVER B&W CRYSTAL DROP Y NECKACE,CLASSIQUE,NECKLACE,"An OMG piece in any jewelry wardrobe, this graduated triple station, two-tone clover drop pendant makes a big fashion statement, encrusted in Swarovski Cubic Zirconia on 30-inch chain necklace by Marie Claire.",SS-G59740RPCZ30
4C CLOVER CRYSTAL PENDANT,CLASSIQUE,SETS,"Double your style and good fortune wearing this iconic open  clover-evil eye pendant. Fashioned in two-tone silver and Swarovski Cubic Zirconia, the charm dangles on 36-inch chain necklace by Marie Claire.",SS-G59743CZ2C36
4C CLOVER LT ROSE DOUBLE DROP PENDANT,CLASSIQUE,SETS,"A double dose of drama, this graduated, open clover pendant by Marie Claire gleams in Swarovski crystal in rhodium and rose plated silver on 17-inch chain.",SS-G59757RPCY17
